Fecha,, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
19/8/2021,, RUTA 8 ESQUINA CALLE INCA, ATROPELLO DE PEATÓN, LEVE, JUEVES, 6, CANELONES, BARROS BLANCOS, 1, 593890, 6155960 
28/7/2021,, GRAL. LIBER SEREGNI, CAÍDA, LEVE, MIÉRCOLES, 12, SALTO, SALTO, 1, 408690, 6527700 
28/5/2021,, DOCTOR VALERIO LOPEZ, CAÍDA, GRAVE, VIERNES, 1, TACUAREMBO, PASO DE LOS TOROS, 1, 546410, 6370485 
27/8/2021,, GENERAL APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 15, MALDONADO, SAN RAFAEL - EL PLACER, 1, 689965, 6134375 
12/7/2021,, RONDEAU, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 10, ARTIGAS, ARTIGAS, 1, 550430, 6635800 
3/9/2021,, LIMA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 15, MONTEVIDEO, MONTEVIDEO, 1, 574725, 6138480 
15/9/2021,, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, FLORIDA, FLORIDA, 1, 572005, 6226440 
4/5/2021,, AVENIDA BOLIVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, MONTEVIDEO, MONTEVIDEO, 1, 584050, 6139070 
9/4/2021,, CALLE E, CAÍDA, LEVE, VIERNES, 16, CANELONES, SIN DATOS, 1, 615770, 6152195 
2/9/2021,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 14, TACUAREMBO, TACUAREMBO, 1, 597125, 6491155 
21/4/2021,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 10, ROCHA, ROCHA, 1, 744815, 6181165 
19/5/2021,, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 14, FLORIDA, FLORIDA, 1, 572715, 6227155 
25/7/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, DOMINGO, 7, TREINTA Y TRES, SIN DATOS, 1, 731150, 6300540 
29/7/2021,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 17, LAVALLEJA, MINAS, 1, 661520, 6195165 
10/7/2021,, VERACIERTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 16, MONTEVIDEO, MONTEVIDEO, 1, 580405, 6141380 
17/9/2021,, AV. FRANCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, MALDONADO, PUNTA DEL ESTE, 1, 687220, 6132440 
10/4/2021,, AVENIDA ANTONIO LUSSICH, CAÍDA, LEVE, SÁBADO, 12, MALDONADO, MALDONADO, 1, 685245, 6136690 
24/4/2021,, ROTONDA RUTAS 5 Y 56, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 0, FLORIDA, SIN DATOS, 1, 574125, 6226680 
16/7/2021,, URUGUAY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 16, SALTO, SALTO, 1, 407825, 6527095 
14/6/2021,, JOSE P. FERRER, DESPISTE, SIN LESIONADOS, LUNES, 14, FLORES, SIN DATOS, 1, 510630, 6291945 
13/6/2021,, AVENIDA PEREZ BUTLER, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 17, CANELONES, EL PINAR, 1, 598620, 6148565 
13/9/2021,, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 1, 568675, 6140695 
30/8/2021,, SIN DATOS, DESPISTE, GRAVE, LUNES, 1, CANELONES, LA FLORESTA, 1, 620280, 6153995 
5/9/2021,, DR. CARLOS BARBOSA GONCALVEZ, DESPISTE, LEVE, DOMINGO, 3, CERRO LARGO, MELO, 1, 767755, 6414035 
27/9/2021,, BRIG. GENERAL MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 12, CERRO LARGO, MELO, 1, 766480, 6416755 
4/5/2021,, AVENIDA GENERAL RIVERA, CAÍDA, LEVE, MARTES, 13, MONTEVIDEO, MONTEVIDEO, 1, 578580, 6137530 
3/4/2021,, ACHIRAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 17, CANELONES, SALINAS, 1, 605880, 6152495 
4/4/2021,, RUTA 77, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, DOMINGO, 20, FLORIDA, SIN DATOS, 1, 556190, 6210705 
13/5/2021,, AVENIDA FELIPE CARAPE, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 20, MONTEVIDEO, MONTEVIDEO, 1, 573670, 6142880 
24/7/2021,, SIN DATOS, CAÍDA, LEVE, SÁBADO, 16, FLORIDA, SIN DATOS, 1, 620240, 6219760 
2/7/2021,, CORUMBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 15, MONTEVIDEO, MONTEVIDEO, 1, 577110, 6142705 
30/7/2021,, AVENIDA GENERAL GARIBALDI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 575085, 6140320 
26/7/2021,, GENERAL GESTIDO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 7, RIVERA, RIVERA, 1, 638605, 6580815 
1/8/2021,, JUAN HOWEL, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 21, ROCHA, ROCHA, 1, 747615, 6182465 
11/7/2021,, AVENIDA DAMASO ANTONIO LARRAÑAGA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 16, MONTEVIDEO, MONTEVIDEO, 1, 577490, 6140915 
15/5/2021,, AVENIDA DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 23, MONTEVIDEO, MONTEVIDEO, 1, 575370, 6137570 
24/5/2021,, SIMON DEL PINO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, MALDONADO, PIRIAPOLIS, 1, 657330, 6141020 
10/5/2021,, CARDOSO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, MALDONADO, MALDONADO, 1, 688830, 6136415 
21/5/2021,, RUTA TRES ( LAS LAMINAS), DESPISTE, SIN LESIONADOS, VIERNES, 19, ARTIGAS, CUAREIM, 1, 444420, 6654730 
21/6/2021,, LANCASTERIANA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 1, 585295, 6140845 
